what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390415423841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390415432489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390415433334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390415454464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390415472641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416138853
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1390416146279
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1390416150309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416152448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416230164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416236749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416546256
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1390416547587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416563912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416615541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416616547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416751916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416752527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390416755162
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1390416756801
