what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1389803035218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803035866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803037489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803041968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389803042414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389803042772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803043401
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803046458
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389803053118
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803053549
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803053779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803054832
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803056481
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803058170
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803058290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803059050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803060415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803066310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803075978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803328668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803340665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803340735
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1389803353535
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803362681
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803378741
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803387202
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389803422814
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389803423165
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389803443697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803480329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803483806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803485176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803486781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803487989
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1389803488180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803489134
error,log,,,"Unexpected runtime error while computing a text hover",1389803500201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389803566287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803566838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803580070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803587296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803593618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803594012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803604432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803657898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803661466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389803668510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803668937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389803694058
