what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1390246758168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1390246784042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246797061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246811074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390246820778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246821140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246826381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390246829848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246830304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246836385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246847371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246848761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246848958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246854599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390246856604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246864874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390246869732
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390246870370
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390246870540
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390246870710
