what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715189990
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1389715191593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389715192134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715194554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715201938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389715205096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715205620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715226767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715233695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715240011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715245563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715288511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715289496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715292689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389715294706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715295138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715299820
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.toggle.comment",1389715303550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389715304009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715304433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715314400
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1389715317046
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715320498
error,log,,,"Unexpected runtime error while computing a text hover",1389715329171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715332594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715338377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715338749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389715344641
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715344756
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1389715352536
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715360190
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715360243
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715363491
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715363492
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1389715369594
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389715388491
